date,AWND,PRCP,TMAX,TMIN,daily_consumption
12/16/2006,2.5,0,10.6,5,1209.176
12/17/2006,2.6,0,13.3,5.6,3390.46
12/18/2006,2.4,0,15,6.7,2203.826
12/19/2006,2.4,0,7.2,2.2,1666.194
12/20/2006,2.4,0,7.2,1.1,2225.748
12/21/2006,2.3,0,12.2,3.3,1716.624
12/22/2006,2.3,11.9,9.4,3.9,2341.338
12/23/2006,3,19.8,15,8.9,4773.386
12/24/2006,3.4,0,11.1,6.1,2550.012
12/25/2006,2.2,9.4,7.2,3.9,2743.12
12/26/2006,3.3,2,11.7,6.1,3934.11
12/27/2006,3.4,0,6.1,3.3,1528.76
12/28/2006,2.3,0,8.9,2.2,2072.638
12/29/2006,2.1,0,8.9,2.8,3174.392
12/30/2006,2.1,0,8.3,1.1,2789.302
12/31/2006,2.1,0,7.2,0.6,3494.196
1/1/2007,1.7,38.6,13.3,7.2,2749.004
1/2/2007,3.8,0,10,5,1269.236
1/3/2007,2.6,0,11.1,3.3,1014.054
1/4/2007,3.6,0,13.3,6.1,3259.412
1/5/2007,2.6,0.8,16.7,11.7,2713.364
1/6/2007,3.4,0.3,22.2,12.2,1508.378
1/7/2007,2.7,4.3,12.2,6.7,2447.62
1/8/2007,3.6,31.8,13.3,3.3,2241.36
1/9/2007,3.1,0,6.7,1.1,1869.054
1/10/2007,3.6,0,2.2,-1.7,2154.8
1/11/2007,2.6,0,3.3,-3.3,2255.194
1/12/2007,3.4,0.3,8.9,2.8,1461.296
1/13/2007,2.6,1.5,13.3,7.2,3186.814
1/14/2007,1.9,2.3,7.8,5,3007.816
1/15/2007,1.7,1.5,13.9,4.4,2148.678
1/16/2007,4.3,0,12.8,-5.6,1686.404
1/17/2007,2.9,0,-1.7,-7.2,2847.688
1/18/2007,1.4,2.3,2.8,-3.9,1821.462
1/19/2007,3.4,2.3,5,-0.6,1480.44
1/20/2007,5.1,0.3,0,-6.1,3133.732
1/21/2007,1.6,0,-1.7,-7.2,3407.262
1/22/2007,0.8,0,0.6,-2.8,2180.494
1/23/2007,2.8,0,2.2,-2.2,1777.64
1/24/2007,2.6,0,4.4,0,2987.854
1/25/2007,2.2,0.3,1.1,-9.4,1596.344
1/26/2007,1,0,-5.6,-12.8,1617.972
1/27/2007,1.7,0.3,5,-6.7,2044.072
1/28/2007,1.7,1.3,5,-1.1,3090.204
1/29/2007,3.9,0.3,-1.1,-6.1,1982.664
1/30/2007,2.2,2.5,1.7,-6.1,1707.798
1/31/2007,3.6,1.5,0.6,-3.9,2363.752
2/1/2007,2.4,0,1.1,-3.3,1824.76
2/2/2007,1.5,5.8,3.3,0,1667.736
2/3/2007,3.9,0,1.7,-5,4029.722
2/4/2007,4.5,0,-2.2,-8.3,3595.94
2/5/2007,5,0,-7.8,-13.3,1645.28
2/6/2007,4,0,-3.9,-11.7,1273.48
2/7/2007,3.4,0,-3.9,-11.1,2328.018
2/8/2007,3.8,0,-2.2,-10,1801.414
2/9/2007,4.8,0,0,-7.8,1620.198
2/10/2007,2.9,0,0.6,-5,2829.328
2/11/2007,2.6,0,0.6,-7.2,3571.228
2/12/2007,2.6,0,4.4,-2.2,1877.61
2/13/2007,3.6,0.8,0,-5.6,1414.546
2/14/2007,6.2,23.9,-1.7,-8.9,2498.672
2/15/2007,4.7,0,-4.4,-9.4,1985.346
2/16/2007,4.4,0,-1.7,-10,1702.528
2/17/2007,2.9,0,1.7,-7.2,2076.912
2/18/2007,3.4,0,1.1,-7.8,3829.762
2/19/2007,4.3,0,-1.1,-11.1,2186.614
2/20/2007,2.7,2.5,8.3,-1.7,3149.928
2/21/2007,1.3,0.3,9.4,3.9,2072.874
2/22/2007,2.4,5.3,7.2,2.2,3369.478
2/23/2007,5.2,0,3.9,-5.6,1313.48
2/24/2007,4.3,0,5.6,-6.7,714.922
2/25/2007,1.8,4.8,2.8,-4.4,501.74
2/26/2007,2.5,7.1,2.2,-1.1,568.484
2/27/2007,0.9,0,6.1,1.1,518.112
2/28/2007,2.2,0,7.8,1.7,520.774
3/1/2007,2,3.6,7.8,0.6,517.564
3/2/2007,3.2,61.2,14.4,1.7,515.688
3/3/2007,2.1,0,15,4.4,819.122
3/4/2007,3.9,0,4.4,0.6,2090.7
3/5/2007,4.5,0,5,-6.1,2660.332
3/6/2007,5.5,0,-6.1,-11.7,1246.5
3/7/2007,1.8,1,-5,-11.1,2375.206
3/8/2007,3.3,0,1.1,-7.8,1572.132
3/9/2007,2,0,1.7,-10.6,1272.612
3/10/2007,2.1,1.8,13.9,0,2484.712
3/11/2007,3,4.1,10,3.3,3480.636
3/12/2007,1.7,0,13.9,2.2,1950.668
3/13/2007,1.3,0,13.9,6.1,1290.144
3/14/2007,1.6,0,21.1,7.8,1793.364
3/15/2007,2.8,8.1,19.4,2.2,1884.814
3/16/2007,5.5,51.6,2.2,-3.3,1702.054
3/17/2007,3.9,0.8,3.3,-3.9,2028.09
3/18/2007,4.3,0,3.9,-2.8,2371.046
3/19/2007,2.9,0,6.1,-1.1,2152.518
3/20/2007,3.4,0,10,0.6,2086.228
3/21/2007,3,0,4.4,-3.3,2142.092
3/22/2007,2.9,0.5,19.4,4.4,1454.978
3/23/2007,1.6,2.3,16.1,10.6,1309.008
3/24/2007,2.6,0.8,12.2,5.6,2968.43
3/25/2007,2.6,0,12.2,3.3,3336.124
3/26/2007,2.6,0,12.2,3.9,1416.082
3/27/2007,2.4,0.3,25.6,10,1105.14
3/28/2007,2.6,0,18.3,7.2,2333.898
3/29/2007,2.7,0,13.9,3.3,1590.406
3/30/2007,1.7,0,20,3.9,1402.394
3/31/2007,2.2,0,15.6,6.1,3509.51
4/1/2007,2.4,1.5,10,5.6,2785.952
4/2/2007,1.9,1.5,13.3,5.6,1960.778
4/3/2007,2.1,0,17.2,5.6,1642.82
4/4/2007,3.2,21.6,5.6,4.4,2051.868
4/5/2007,4.1,0,6.7,1.1,1844.078
4/6/2007,2.4,0,5.6,-0.6,1601.14
4/7/2007,2.8,0,6.1,-0.6,1553.924
4/8/2007,3.7,0,5,-1.1,1608.816
4/9/2007,2.9,0,9.4,0,1000.92
4/10/2007,2.7,0,10.6,0.6,777.364
4/11/2007,2.1,0,10,2.2,887.482
4/12/2007,3.6,35.1,6.7,3.9,537.706
4/13/2007,4.5,0,9.4,5.6,551.022
4/14/2007,2.5,0,13.3,4.4,554.268
4/15/2007,3.2,192.3,12.8,4.4,726.164
4/16/2007,3.3,22.9,8.9,3.3,952.39
4/17/2007,4.2,1,10.6,5.6,1223.734
4/18/2007,3.3,0,10.6,5.6,998.246
4/19/2007,2.3,0.3,16.1,7.2,1028.658
4/20/2007,2.4,0,21.7,6.7,822.58
4/21/2007,1,0,26.1,7.2,1673.656
4/22/2007,1.4,0,25.6,12.8,2233.714
4/23/2007,2.8,0,30,14.4,1054.566
4/24/2007,2.7,0,24.4,14.4,1032.1
4/25/2007,3.1,3.6,19.4,8.3,1264.162
4/26/2007,2.1,0,16.1,7.8,1275.466
4/27/2007,1.4,51.8,13.3,8.3,1094.332
4/28/2007,1.8,0,21.7,12.2,22.738
4/30/2007,3.3,0,26.7,11.1,420.822
5/1/2007,1.6,8.1,21.7,10.6,1663.858
5/2/2007,1.7,2.5,20,10,1003.486
5/3/2007,1.3,0,22.2,10.6,1090.238
5/4/2007,1.7,0,21.7,10,998.128
5/5/2007,2,0,22.8,10.6,1563.052
5/6/2007,3.3,0,17.2,7.8,2102.104
5/7/2007,1.8,0,19.4,6.7,1643.664
5/8/2007,1.1,0,22.2,8.3,1789.292
5/9/2007,2.2,0,28.3,13.9,1665.736
5/10/2007,2,0,25,16.1,707.884
5/11/2007,0.8,4.8,25,15.6,979.154
5/12/2007,2.5,4.6,23.3,11.7,1441.566
5/13/2007,3,0,20,9.4,1634.738
5/14/2007,2.5,0,21.1,9.4,1467.782
5/15/2007,3.3,0,28.9,13.3,904.392
5/16/2007,2.6,21.1,29.4,15,1692.944
5/17/2007,2,0,20.6,12.2,1231.816
5/18/2007,3.2,0,12.2,8.9,1631.53
5/19/2007,1.7,5.3,13.9,10,1429.442
5/20/2007,2.9,0.5,23.9,10.6,1968.328
5/21/2007,1.8,0,21.7,11.7,1120.062
5/22/2007,1.8,0,24.4,11.7,1132.852
5/23/2007,1.6,0,23.3,12.8,1464.936
5/24/2007,2.8,0,28.9,14.4,1154.388
5/25/2007,2,0,32.2,17.8,1614.22
5/26/2007,1.8,0,29.4,21.7,1512.248
5/27/2007,1.5,0.8,30,18.9,2153.808
5/28/2007,1.8,0,28.3,19.4,1637.468
5/29/2007,1.3,0,26.7,16.1,1061.34
5/30/2007,0.8,0,28.9,16.1,1609.866
5/31/2007,2,0,32.8,17.8,938.55
6/1/2007,1.3,0,31.1,17.8,1044.918
6/2/2007,1.7,0,31.7,21.7,1484.362
6/3/2007,2.1,41.1,26.1,17.2,2108.026
6/4/2007,2.4,58.2,21.1,15.6,911.618
6/5/2007,2.7,0,27.2,18.9,1458.892
6/6/2007,2.2,0,21.7,13.3,1693.638
6/7/2007,0.9,0,23.9,12.2,985.002
6/8/2007,1.1,0,29.4,17.8,2148.046
6/9/2007,2.6,0.3,27.8,18.3,1059.814
6/10/2007,1,0,22.2,16.7,1340.812
6/11/2007,1.9,0.8,28.9,17.2,794.654
6/12/2007,1,30,28.3,18.3,918.766
6/13/2007,3.1,0,18.9,13.9,927.272
6/14/2007,2.4,0,17.8,13.3,1259.084
6/15/2007,1.6,0,23.3,15,989.604
6/16/2007,1.3,1,27.2,15.6,2017.762
6/17/2007,1.7,0,30,18.9,1947.09
6/18/2007,1.8,0,28.9,20,678.474
6/19/2007,1.6,8.4,26.7,18.9,842.36
6/20/2007,2.1,3.6,25.6,19.4,1074.286
6/21/2007,2.1,4.6,26.7,15.6,806.946
6/22/2007,2.9,0,23.3,16.1,566.294
6/23/2007,2,0,23.3,13.3,477.566
6/24/2007,1.4,0,27.2,13.9,714.656
6/25/2007,1.8,0,26.7,19.4,1072.202
6/26/2007,2,0,32.8,22.2,944.908
6/27/2007,1.7,17.5,32.2,21.1,1480.826
6/28/2007,2.3,0.8,30.6,21.1,1295.438
6/29/2007,1.2,0,25,19.4,1304.198
6/30/2007,1.3,0.3,27.2,17.2,1335.314
7/1/2007,2.3,0,23.3,16.1,1026.664
7/2/2007,1.3,0,23.3,13.9,967.032
7/3/2007,1.4,0,26.7,15.6,1059.912
7/4/2007,2.6,1.8,21.7,18.3,1003.41
7/5/2007,2.1,33,25.6,19.4,1057.29
7/6/2007,1.2,0.8,28.3,19.4,1069.524
7/7/2007,1.7,0,29.4,19.4,1358.206
7/8/2007,2.3,0,31.7,21.7,1089.08
7/9/2007,1.7,0,33.3,24.4,1180.158
7/10/2007,1.6,0,33.3,23.3,908.324
7/11/2007,1.5,25.7,29.4,21.1,722.352
7/12/2007,2.2,0,26.7,18.9,1069.582
7/13/2007,1.7,0,27.2,20.6,794.382
7/14/2007,1.3,0,28.9,18.9,1288.17
7/15/2007,2.1,0.3,31.1,22.2,917.024
7/16/2007,1.6,0,27.8,21.7,853.674
7/17/2007,0.9,0,31.1,20.6,719.632
7/18/2007,1.4,40.4,25.6,20.6,757.082
7/19/2007,1.5,4.8,28.3,21.1,677.886
7/20/2007,3,0,25.6,19.4,1110.422
7/21/2007,2.4,0,27.8,17.2,1060.248
7/22/2007,2.2,0,28.3,20,1375.774
7/23/2007,3.5,58.7,22.2,15.6,991.018
7/24/2007,1.6,0,27.2,14.4,825.284
7/25/2007,0.9,0,28.3,19.4,472.56
7/26/2007,1.2,0,29.4,21.7,924.5
7/27/2007,1.6,0,28.9,21.7,1202.514
7/28/2007,1.3,0,28.9,21.7,1621.862
7/29/2007,0.9,9.7,26.7,22.2,321.116
7/30/2007,0.9,0,30,21.1,466.816
7/31/2007,1.1,0,30.6,22.2,812.332
8/1/2007,1.2,0,32.2,21.7,1060.338
8/2/2007,1.3,0,33.3,23.9,1019.416
8/3/2007,2,29.2,32.2,18.9,1063.364
8/4/2007,1.3,0.3,31.7,20.6,1144.99
8/5/2007,2.5,0,29.4,21.1,787.098
8/6/2007,1.4,0,28.3,22.2,1089.72
8/7/2007,0.7,0,31.7,23.9,1483.58
8/8/2007,2.4,63.5,32.2,22.8,1125.482
8/9/2007,2,0,28.3,22.2,1071.68
8/10/2007,3.2,32.5,22.2,13.9,1028.01
8/11/2007,1.5,0,27.2,13.9,1091.65
8/12/2007,1,0,29.4,20,1241.904
8/13/2007,2.3,1,28.9,21.1,1153.012
8/14/2007,1.3,0,27.2,18.3,941.19
8/15/2007,2.3,0,28.9,19.4,1191.86
8/16/2007,1.2,0.3,28.3,23.3,958.496
8/17/2007,1.4,18.8,29.4,16.7,1009.892
8/18/2007,2.6,0,23.3,15,347.96
8/19/2007,0.5,3,21.7,15.6,1422.294
8/20/2007,3.1,1.5,20.6,14.4,1338.842
8/21/2007,3.4,32.3,15,13.3,642.556
8/22/2007,1.6,0,18.3,13.3,1209.808
8/23/2007,0.6,0,23.9,16.7,1112.312
8/24/2007,1,0,28.3,18.9,1656.214
8/25/2007,1.3,0,30.6,22.8,1150.88
8/26/2007,1.6,0,26.7,22.2,1314.906
8/27/2007,1.9,0,28.3,19.4,1211.73
8/28/2007,0.6,0,28.3,20,997.004
8/29/2007,0.9,0,29.4,19.4,747.992
8/30/2007,1,0,30,21.1,1202.458
8/31/2007,2.2,0,25.6,20.6,1279.822
9/1/2007,3,0,26.1,17.8,1701.486
9/2/2007,1.3,0,25.6,14.4,1662.468
9/3/2007,2.4,0,27.8,17.8,1038.922
9/4/2007,1.8,0,28.3,20.6,1584.944
9/5/2007,1.3,0,26.1,18.3,1236.572
9/6/2007,1.3,0,26.7,19.4,901.474
9/7/2007,2.2,0,30,21.1,1336.496
9/8/2007,2.3,0,31.1,21.7,1469.752
9/9/2007,2,0,29.4,21.7,1679.502
9/10/2007,1.4,3.3,26.1,22.8,1117.376
9/11/2007,2.1,30.7,23.3,20.6,983.572
9/12/2007,2.4,0,23.9,16.7,1287.764
9/13/2007,0.8,0,23.3,14.4,1146.382
9/14/2007,1.5,0,23.3,17.8,1135.47
9/15/2007,2.3,2,20.6,12.8,1095.312
9/16/2007,1.1,0,18.9,10,1652.224
9/17/2007,1.5,0,20.6,10.6,1461.186
9/18/2007,1.5,0,21.1,11.7,1167.52
9/19/2007,0.8,0,24.4,13.3,1298.684
9/20/2007,0.8,0,27.8,15.6,1255.532
9/21/2007,0.8,0,27.8,17.2,1238.78
9/22/2007,0.6,7.9,23.9,18.3,1176.172
9/23/2007,1.3,0,25.6,16.7,1417.97
9/24/2007,1.3,0,26.1,14.4,1354.53
9/25/2007,2.5,0,29.4,17.2,1764.342
9/26/2007,2.3,0,30.6,20.6,1822.264
9/27/2007,1.7,0,27.8,21.7,1392.6
9/28/2007,2.1,2,24.4,16.1,1680.498
9/29/2007,2.2,0,24.4,14.4,2296.522
9/30/2007,1.6,0,22.2,13.3,1516.29
10/1/2007,1.2,0,20.6,15,1720.922
10/2/2007,1.6,0,23.9,14.4,2198.864
10/3/2007,1,0.8,25.6,18.3,1280.454
10/4/2007,0.8,0,28.9,20.6,1518.458
10/5/2007,0.7,0,28.3,19.4,1394.092
10/6/2007,1.1,0,28.3,18.9,1756.24
10/7/2007,1.7,0,27.8,19.4,2106.114
10/8/2007,1.9,0,30.6,19.4,1095.242
10/9/2007,2.6,13.2,26.1,15.6,1687.858
10/10/2007,1.7,4.1,20.6,16.1,1166.972
10/11/2007,2.7,37.6,19.4,15,1732.446
10/12/2007,3.5,2,15.6,8.9,1914.504
10/13/2007,2,0,17.2,7.2,1926.728
10/14/2007,2.1,0,18.9,9.4,2061.252
10/15/2007,1.2,0,19.4,9.4,1266.33
10/16/2007,0.3,0,21.1,13.3,1964.442
10/17/2007,0.5,0,22.8,14.4,1576.93
10/18/2007,1.2,0,25,17.2,1518.53
10/19/2007,1.9,9.7,22.8,18.3,2085.648
10/20/2007,2.6,0.8,21.1,15.6,1660.246
10/21/2007,2.1,0,23.3,13.3,1941.94
10/22/2007,2,0,24.4,15,1652.896
10/23/2007,2.7,0.3,25.6,18.9,1954.648
10/24/2007,2.1,4.1,19.4,11.1,1865.636
10/25/2007,3.3,3.6,13.9,9.4,1853.918
10/26/2007,3.3,11.7,14.4,11.1,1437.568
10/27/2007,2.5,30.5,19.4,13.3,1785.688
10/28/2007,3,0,13.3,6.1,512.158
10/29/2007,1.3,0,11.7,3.3,545.428
10/30/2007,1.3,0,16.7,7.8,811.008
10/31/2007,2,0,17.8,9.4,1283.21
11/1/2007,0,0,18.9,10,496.216
11/2/2007,3.9,0,12.8,7.2,1443.602
11/3/2007,4.2,0,10.6,7.2,492.55
11/4/2007,1.8,0,13.3,7.2,1485.686
11/5/2007,1.9,0,13.9,6.7,1500.592
11/6/2007,2.9,13.2,13.3,6.1,2082.378
11/7/2007,2.3,0,9.4,3.9,1844.758
11/8/2007,0.6,0,7.8,1.7,1501.06
11/9/2007,1.5,10.4,6.7,3.9,2171.226
11/10/2007,2.4,3.3,7.8,2.8,2611.6
11/11/2007,1.6,0,7.8,-0.6,1887.124
11/12/2007,1.1,2.8,10,3.3,2156.146
11/13/2007,1.3,5.6,15,8.3,2214.398
11/14/2007,1,0,14.4,7.2,2047.994
11/15/2007,2.5,9.7,17.2,6.1,1491.988
11/16/2007,4.4,0,8.3,2.8,2309.754
11/17/2007,2.2,0,7.8,1.7,2610.094
11/18/2007,3.1,0,6.7,3.9,2183.858
11/19/2007,3.4,6.9,6.7,1.1,1723.654
11/20/2007,1.8,2.8,8.9,4.4,2095.856
11/21/2007,0.8,0,14.4,6.1,1751.836
11/22/2007,2.1,0.8,18.9,4.4,1932.378
11/23/2007,3.4,0,4.4,-1.1,2522.618
11/24/2007,1.7,0,3.9,-3.3,1899.054
11/25/2007,1.8,0,9.4,1.1,1395.598
11/26/2007,1,31.8,16.7,4.4,1569.716
11/27/2007,3.5,0.8,17.8,6.1,2801.012
11/28/2007,2.1,0,7.2,1.7,1644.94
11/29/2007,2.8,0.3,10.6,5,1719.23
11/30/2007,2.6,0,5.6,1.7,2331.728
12/1/2007,3.2,0,3.3,-3.9,3134.942
12/2/2007,1.4,8.4,2.2,-6.7,2946.188
12/3/2007,4.3,7.9,8.3,0,1762.06
12/4/2007,4.4,0,1.1,-2.2,2067.636
12/5/2007,1.9,0.5,0.6,-2.2,2153.12
12/6/2007,2.1,0,0.6,-6.1,2487.934
12/7/2007,1.6,0,1.7,-2.2,1769.016
12/8/2007,1.9,0,6.7,1.1,2213.404
12/9/2007,0.6,8.1,4.4,1.1,2274.584
12/10/2007,1.4,2,4.4,2.8,1758.754
12/11/2007,1.7,0.3,7.2,1.7,2305.104
12/12/2007,3,0,11.1,1.1,1588.062
12/13/2007,2.8,25.9,2.2,-1.7,1847.746
12/14/2007,1.4,0,5.6,-0.6,1974.808
12/15/2007,3.4,0.3,2.2,-1.7,2736.876
12/16/2007,5.7,21.3,3.3,-1.7,2762.218
12/17/2007,5.4,0,0.6,-3.3,1797.066
12/18/2007,2.3,0,2.8,-1.7,2623.194
12/19/2007,1.1,2,6.1,1.1,2196.052
12/20/2007,2.3,0,6.7,1.7,1949.758
12/21/2007,4.2,0,3.9,2.2,1982.576
12/22/2007,3.8,0,5,1.7,2611.264
12/23/2007,2.9,18,16.1,5,2409.048
12/24/2007,3.5,0,10,2.8,2257.848
12/25/2007,2.4,0,6.1,1.7,2694.968
12/26/2007,2.8,13,3.9,0,2580.28
12/27/2007,2,1.3,6.1,2.2,2532.198
12/28/2007,2.1,0.5,9.4,4.4,3113.052
12/29/2007,2.4,14.5,10.6,5.6,3298.956
12/30/2007,1.8,3,6.1,1.7,2558.916
12/31/2007,2.8,5.6,6.7,1.7,2216.542
1/1/2008,2.9,4.3,8.3,2.8,2759.738
1/2/2008,4.1,0,3.3,-8.3,1644.106
1/3/2008,2.9,0,-6.7,-11.1,1510.108
1/4/2008,2.5,0,2.2,-8.9,2291.852
1/5/2008,1.6,1.5,6.1,0,2183.248
1/6/2008,0.8,0.3,10,2.2,1825.184
1/7/2008,1.9,0,16.7,7.2,1695.814
1/8/2008,3,0,17.8,11.7,2043.55
1/9/2008,3.8,0.8,17.8,8.3,1788.44
1/10/2008,1.6,0.3,10,5,1894.076
1/11/2008,2.3,32.8,13.3,4.4,1705.818
1/12/2008,2,0,9.4,5.6,2871.408
1/13/2008,3.6,7.6,7.2,2.2,2881.656
1/14/2008,2.9,4.6,3.9,1.1,2024.932
1/15/2008,3.7,0,3.3,0,2686.912
1/16/2008,3.4,0,3.9,-1.7,2135.852
1/17/2008,2.6,6.4,3.9,-1.1,1572.282
1/18/2008,4,11.7,8.9,1.7,2186.988
1/19/2008,0,0,2.8,0,1980.306
1/20/2008,4.9,0,1.1,-8.3,1740.368
1/21/2008,3.6,0,-3.3,-9.4,1858.998
1/22/2008,3.1,0,3.9,-5,2325.018
1/23/2008,3.6,0,4.4,-1.1,1882.308
1/24/2008,2.3,0,1.1,-4.4,1645.022
1/25/2008,3.7,0,0.6,-6.1,2239.856
1/26/2008,1.7,0,1.1,-3.9,2834.988
1/27/2008,3.2,0,3.9,-1.1,2381.766
1/28/2008,3,0,5.6,-2.8,2308.196
1/29/2008,1.7,0.3,6.1,-1.1,2676.024
1/30/2008,4.6,2,9.4,0,1640.646
1/31/2008,3.1,0,3.3,-2.2,1953.922
2/1/2008,5.3,41.4,11.7,0,1534.652
2/2/2008,4,0,6.1,1.7,2936.034
2/3/2008,1.1,0,9.4,0.6,2084.568
2/4/2008,3.5,1.8,5.6,1.1,1628.138
2/5/2008,2.5,1.3,11.1,3.3,2472.456
2/6/2008,2.4,1,20,5,1669.54
2/7/2008,3,1.3,9.4,3.3,1518.31
2/8/2008,2.2,0,7.2,1.7,1950.564
2/9/2008,2.2,1.5,6.7,2.8,2102.276
2/10/2008,5.3,0,6.7,-9.4,2184.714
2/11/2008,5.7,0,-4.4,-12.2,1692.016
2/12/2008,2.2,14,-0.6,-8.3,1987.798
2/13/2008,2.7,49.3,12.2,-0.6,1900.498
2/14/2008,3.4,0,4.4,-2.2,1604.622
2/15/2008,3.6,0,8.3,-0.6,2005.208
2/16/2008,2.6,0,1.1,-5,2346.948
2/17/2008,3.5,5.8,11.7,-1.1,1933.368
2/18/2008,3.9,6.9,17.8,4.4,1514.404
2/19/2008,4.3,0,5,-2.2,2126.916
2/20/2008,3.3,0,0,-4.4,2253.79
2/21/2008,2.9,0,0.6,-6.7,1633.85
2/22/2008,2.7,17.8,1.1,-3.9,1732.564
2/23/2008,2,0.3,1.1,-2.2,1833.97
2/24/2008,2.2,0,3.9,-4.4,1263.008
2/25/2008,2.4,0,8.9,0,504.488
2/26/2008,1.9,5.3,8.3,3.3,507.12
2/27/2008,4.7,0,6.7,-5.6,566.72
2/28/2008,4.8,0,-2.2,-7.8,509.184
2/29/2008,3.2,3.6,1.7,-8.3,1333.348
3/1/2008,4.1,3.6,7.8,0.6,1141.876
3/2/2008,4.1,0,6.1,-2.2,1162.226
3/3/2008,2.7,0,12.8,2.2,1040.55
3/4/2008,3,4.8,17.2,7.2,1668.99
3/5/2008,4.7,7.6,13.9,2.8,2037.208
3/6/2008,2.5,0,9.4,1.1,2503.208
3/7/2008,3.5,30.7,7.2,2.2,1862.956
3/8/2008,3.6,19.1,13.9,2.2,2248.66
3/9/2008,5.4,0,5.6,-1.1,1560.458
3/10/2008,3.4,0,7.2,-2.8,1618.686
3/11/2008,2.4,0,9.4,1.7,2200.042
3/12/2008,4.1,0,8.3,1.7,1774.232
3/13/2008,2.4,0,7.2,-0.6,1675.514
3/14/2008,2.8,0.5,13.3,4.4,2210.22
3/15/2008,3.8,2.8,13.3,5,1576.3
3/16/2008,3.4,1,8.3,1.7,1801.96
3/17/2008,3.8,0,10,-1.1,1706.918
3/18/2008,3.4,0,6.7,1.7,1917.566
3/19/2008,2.7,24.1,11.7,5,1308.448
3/20/2008,5.5,5.6,14.4,2.2,1253.274
3/21/2008,5.6,0,7.2,0.6,2066.442
3/22/2008,3.2,0,10,1.1,2053.516
3/23/2008,2.6,0,8.9,-1.1,2325.99
3/24/2008,2.9,0,10,0.6,1974.668
3/25/2008,3.6,0,8.9,-0.6,2015.856
3/26/2008,3.1,0,16.1,6.1,1633.472
3/27/2008,1.1,0,9.4,6.7,1370.822
3/28/2008,3.5,0.3,8.9,3.3,1885.424
3/29/2008,4.1,0,8.3,0.6,2471.15
3/30/2008,2.8,0,9.4,-2.2,2146.392
3/31/2008,3.2,3.6,13.9,2.8,1377.57
4/1/2008,3.8,7.6,19.4,12.2,2129.052
4/2/2008,4.7,0,12.2,2.8,1691.672
4/3/2008,2.1,1.3,10,0.6,1128.756
4/4/2008,2.7,16,11.7,5.6,1631.918
4/5/2008,2.9,2,15,10,1970.762
4/6/2008,5.9,0,10.6,5.6,1696.318
